Gene Symbol,Control1,Control2,Control3,Control4,Control5,H1N1_1,H1N1_2,H1N1_3,H1N1_4,H1N1_5
Ch25h,6.85,7.52,6.93,7.36,7.29,8.05,9.75,10.02,9.97,10.64
Cyp7b1,6.47,6.68,7,7.04,7.24,7.13,8.52,8.73,8.6,8.11
Scp2 ,8.25,8.29,8.21,8.31,8.37,8.41,8.44,8.44,8.3,8.34
Hsd17b4,9.3,9.37,9.39,9.36,9.37,9.4,9.04,8.85,9.08,8.78
Cyp27a1,7.32,7,7.54,7.46,7.63,6.73,7.08,7.14,6.85,6.73
Cyp39a1,8.36,8.75,8.65,8.56,8.46,8.54,7.66,7.09,7.5,6.97
Slc25a20,7.55,7.32,7.68,7.88,7.72,8.13,8.34,8.38,8.19,8.42
Acadl,3.68,4.2,3.97,3.82,3.84,4.19,4.33,4.37,4.33,4.11
Shmt1,6.41,6.29,6.21,6.11,6.29,6.5,6.66,6.49,6.62,6.44
Crot,8.38,8.31,8.58,8.38,8.56,8.6,8.86,8.73,8.76,8.42
Hadha,9.68,9.67,9.63,9.77,9.62,9.83,9.74,9.82,9.77,9.72
Crat,8.33,8.54,8.46,8.37,8.38,8.36,8.14,8.24,8.38,8.25
Acadm,9.37,9.32,9.44,9.4,9.32,9.38,9.05,9.03,9.12,8.86
Setd7,7.79,7.76,7.82,7.97,7.92,7.71,7.41,7.47,7.62,7.44
Acaca ,8.1,8.1,8.21,8.23,8.19,8.23,7.92,7.58,7.67,7.73
Bbox1,6.25,6.42,6.69,6.5,6.47,6.4,5.54,5.02,6.06,5.23
Gyk,6.28,6.57,6.68,6.74,6.71,6.98,7.38,7.74,7.58,7.52
Ppap2c,6.91,7.19,7.27,7.2,7.07,7.27,7.3,7.38,7.57,7.38
Gpam,9.67,9.59,9.55,9.84,9.6,9.55,9.45,9,9.29,8.95
Cdipt,9.31,9.13,9.32,9.47,9.35,9.61,9.75,9.75,9.79,9.66
Pgs1,7.65,7.58,7.58,7.72,7.62,7.87,7.9,7.96,7.99,8.36
Ptpmt1,6.67,6.73,6.71,6.61,6.73,6.73,6.93,7.1,6.93,7.05
Pisd ,7.43,7.11,7.4,7.29,7.14,7.36,7.64,7.55,7.56,7.51
Pla2g4b ,5.54,5.38,5.36,5.52,5.51,5.34,5.25,5.07,5.23,5.42
Pla2g2d,7,6.86,7.09,7.17,7.2,6.73,6.62,6.99,6.73,6.72
