Chemical,LS10004,LS10006,LS10016-1,LS10023-2,LS10026-2,LS10027-3,LS10031-1,LS10036-2,LS10048-2A,LS10101-2A,LS10250-2,LS10122-10A,LS10028-2,LS10034-3,49,53,60,90,202,224,243,264,330,337,369,385,391,400,410,431,474,515,537,589,612,26,52,446,843,919,2042,2063,2094,2098,LS10009,LS10013-6,LS10014-3,LS10017-4,LS10011-3,LS10020-4,LS10010,LS10002-5,LS10008,LS10025-4
1_2_3_4_6_7_8-HepCDD,0.011463354,0.00965242,0.014340644,0.008126161,0.00373231,0.010220594,0.003720134,0.009967117,0.00161355,1781.878064,0.013734887,0.009536712,0.008816955,0.012696537,0.012818832,0.012256857,0.009796033,0.008083787,0.011782634,410.163472,0.008739271,0.00352697,0.009221293,0.005465906,0.012235413,0.010809467,0.009808401,0.013193139,0.01572029,0.008185754,0.007359771,0.0117271,0.010977487,0.011852036,0.007352814,0.011831548,0.009003762,0.011032214,0.005751782,0.015760469,0.013424526,0.016412324,0.007596897,0.015570729,0.013642359,0.005087215,0.015931632,0.007735925,0.009475997,2950.430125,0.004990076,0.008223622,0.005429438,0.004773424
1_2_3_4_6_7_8-HepCDF,1112.983093,0.013151569,0.010614763,0.007830282,0.016124337,0.009000046,0.010205507,8433.63235,0.010090922,0.007916532,1131.820078,1516.059622,0.013347803,0.013076113,0.011241011,0.01158584,0.01408881,0.012247358,0.011149134,0.008830847,0.006414952,0.011975366,0.009700601,0.009556402,0.006556828,0.006156384,0.005598641,0.016527404,0.015148122,2957.24066,0.009944056,0.011870984,0.006838783,0.007419576,0.009835436,0.010229996,0.00722783,0.010020508,0.005048356,0.009177755,1265.660137,0.004167604,0.010509844,0.009212041,0.010747606,0.01289125,0.004371163,0.010317068,1338.264956,0.004834058,0.00975739,0.006339173,0.01368535,0.007754195
1_2_3_4_7_8-HxCDD,0.012675851,0.010568347,0.009269405,0.013031629,0.009033241,0.011878399,0.00638755,735.818328,0.015515839,0.011533592,0.011732562,0.007243136,417.7305556,0.006661111,0.009333318,0.006877373,0.015168864,0.011941069,0.017833964,0.00801382,0.010785652,0.007754427,566.2130263,420.4523194,0.011152845,0.008539695,0.006845064,0.01302473,0.012295953,0.011909841,0.010183618,0.010210977,433.2521288,0.015409918,0.009603427,535.5001417,0.009440915,0.011440777,0.013033602,0.003265728,0.001656529,0.00984578,0.00735383,833.3625351,0.016142577,0.011392035,0.006745243,0.007970781,346.6623949,0.008591325,999.3368212,0.007142229,0.010457093,2193.077682
1_2_3_4_7_8-HxCDF,0.008216384,0.011723924,0.014934122,0.007411705,0.007362483,555.6764927,0.008452313,0.008564653,0.012388257,0.013774052,0.007345309,530.5669781,345.9184297,0.014866201,0.012342073,0.009803133,0.006161344,223.5922879,171.1895396,0.008290071,0.012821366,0.010477435,0.010583524,0.01022124,0.005720015,172.3164949,0.007071018,0.014180074,0.011140964,0.011344916,0.005451356,0.01227132,408.5633431,422.1598752,0.009334899,296.7269875,0.00938856,0.009647896,638.2273561,798.4392555,0.013118077,0.013287272,0.009008078,0.013341303,0.009377784,0.015023462,0.014049014,0.010787699,0.012772015,0.006775643,0.011619087,0.013985096,621.1433633,0.012107051
1_2_3_7_8-PCDD,789.609641,0.005216547,0.002891121,0.007828049,0.014210761,0.008300454,0.016219458,0.010304784,0.007490326,0.016280975,0.01373268,0.00827548,0.013664153,0.01158338,0.006536218,0.017536375,0.008003624,0.006106218,0.008126676,204.6584875,0.007467375,0.010263159,344.9350025,0.009359299,0.011718159,0.007734157,0.012292871,347.2175455,0.01307391,0.014703521,0.013054675,296.435248,0.014886251,0.007108946,0.014549632,0.006579497,0.005214123,0.003591978,0.015439707,0.016846116,0.007426292,0.009160965,0.010902036,0.006664348,0.01002037,0.010847619,0.011700305,0.010166389,0.004162115,0.012967036,0.015043845,0.001374053,0.014897279,0.009409671
1_2_3_7_8-PCDF,0.016844297,419.2422492,0.007461811,0.008772795,0.009004086,0.011560888,627.5953614,525.6452085,0.004236493,0.003604071,0.008749511,374.8720115,0.010837065,0.001135887,0.00687802,269.0135003,0.007629299,0.009946508,0.007254236,371.9930048,441.9944813,0.017027965,0.012716213,0.007477717,0.013101412,165.5486505,0.006026014,492.8605766,0.007227614,0.015689636,624.0313311,584.7665574,161.5592963,337.7044836,604.9589832,174.1840595,0.006241017,0.0168772,423.8166202,433.4160002,0.01120361,312.9221005,307.2331285,0.012467593,0.012231298,0.016865727,689.1335146,163.7833101,0.012570651,402.9405496,0.014809829,0.013166811,0.004890705,0.004331322
2_3_7_8-TCDD,0.011915686,0.011986548,0.007892478,0.005078849,0.001585009,0.011220173,0.013817535,0.008790708,0.012389078,0.01061375,0.007799066,0.01943062,0.012480811,0.018477123,0.013010037,0.013056528,0.007723213,0.007326794,0.008886382,0.005708228,0.012059568,0.008213321,0.013038237,188.8896715,0.010288913,0.009174666,0.004611702,0.008979069,0.007052281,0.009292518,0.008050981,0.016249143,0.00869029,0.01598063,0.011107074,0.015549114,0.011111245,0.008874423,0.010454607,0.006460969,0.00841001,0.011699685,620.4561638,0.009572006,0.014167238,0.016184673,0.013775985,0.011710768,0.010972187,461.7907575,0.007913857,0.012252877,0.008884575,0.014399142
2_3_7_8-TCDF,0.011193517,0.007835388,0.01058186,1246.812973,0.01085728,0.012289359,0.008139883,0.012172452,412.8012758,0.004393591,305.8872247,262.018712,0.007148524,0.013828566,0.01105933,0.009751443,502.1478204,0.005367967,176.7528168,0.011385008,0.008532969,0.009815281,248.1764756,0.012921227,0.006545633,135.5254404,0.004454731,0.016018613,0.007796469,295.8959484,269.293293,0.015428099,0.009552264,0.01269043,0.009865445,0.007453143,0.003679749,401.2653081,0.009740321,0.011918038,353.2670397,0.010816364,0.008603823,297.9981129,0.00921013,0.008273213,0.008280068,0.007635358,0.011771903,0.00195704,0.002599683,0.007743877,0.011306897,399.7543004
2-monobromodiphenylether,171297.7588,15756421.45,9787364.656,5073304.801,3977973.157,1361290.277,3315710.115,21954572.44,101367.2148,7922668.598,368886.7213,214153.2102,221554.443,149556.3016,8629263.678,3529036.528,5090536.618,2684942.546,795555.1917,2242014.661,2313985.968,10116266.46,172617.4456,3697424.171,231964.7924,67372.24201,1179189.676,1407981.61,63094.92965,6911925.152,2475997.313,1190975.846,487824.6009,208097.1013,3821445.41,197448.4464,146336.9026,6597136.55,351700.1569,79406.05864,332993.4631,85189.41726,97504.36879,96891.96849,344396.4605,400659.0214,1798258.696,470891.2654,2374120.108,107791.4817,3987006.081,4451886.385,4525744.556,4022176.533
3_3p_4-tribromodiphenylether (PBDE-35),0.006437854,0.00881109,0.008558081,0.001311368,0.010588581,0.010118522,0.013695736,0.016338525,0.014097631,0.005118691,0.006568509,0.014039521,0.012040227,0.006670138,0.010694006,0.007954422,0.012083554,0.003612447,0.009372163,0.010170572,0.007225828,0.009541013,0.013339545,0.004360349,0.008218973,0.009361304,0.009916739,193.0413489,0.003036947,0.010025237,0.01623918,0.014896366,0.010940243,0.008489271,406.489599,0.016702364,414.6780999,0.012607569,0.009553556,0.00808533,0.010028082,0.011423103,494.9740477,0.014576445,0.016888962,0.011427252,0.014803169,0.014147078,0.013784346,0.012712064,0.011744333,0.004613884,404.8711374,456.6864953
3_3p-Dichlorobenzidine,125916.8512,127518.1878,203990.0824,18034.07867,7452.256842,203206.1021,207705.7554,237267.3907,41630.12336,199943.5653,390300.5651,93366.43444,160953.7903,94875.57524,18745.48861,10721.98903,68805.11409,124292.1348,71735.69479,67264.66044,177690.3708,184157.4875,175253.5645,131254.326,136481.4274,146474.1981,101714.5363,131822.731,1603.154304,94716.47762,200766.4478,179946.8469,155397.8882,105924.5281,62158.68637,13098.67977,147670.4166,252165.0773,132424.5129,154770.2795,117239.5828,160558.3882,159542.3004,164578.9038,48315.81988,37999.65371,31422.60866,63704.47292,141415.5387,252457.1119,175972.6357,192050.8828,201722.9294,148676.2542
4_4p-DDE,12897.19569,0.013563995,3629.829815,49075.58866,0.007252305,0.010098225,0.011773636,8777.273172,19786.77962,12317.77638,272.045961,358.5506704,6020.860244,0.006242861,2844.417836,1356.695085,10817.70055,684.9994956,0.008241999,7249.99676,0.012157262,1252.326186,0.014762422,3654.539402,0.0143499,180.3636021,32893.73735,0.01047529,19450.99774,10143.87406,0.010985996,19281.62532,298.886722,0.011410079,0.010407873,2151.693987,573.6724382,2291.426846,0.011345699,295221.188,3999.417146,239.7308031,1056.35151,2651.639331,788826.0785,156285.2893,733.1640251,934.5995436,5065.322378,8070.965299,3877.697176,75799.1608,32779.01544,5104.509554
BDE-100,0.004716639,0.010840897,0.011219602,0.007406256,0.006976304,0.01158638,0.008010138,0.017947486,0.011247515,0.014274355,0.010646595,0.006489996,0.011180825,400.2348458,0.011155406,238.6379736,0.005774773,0.011002534,0.009321227,396.7796322,0.018402932,1322.411721,0.010898564,302.35679,0.005041171,0.00755519,0.009310565,0.009687225,0.009069607,0.012229058,0.004875933,0.012648711,0.010377879,476.1457237,0.005938627,0.01342511,0.004687144,0.006213833,0.010312955,0.006759369,0.015636864,0.00901734,0.012706838,0.011085457,329.4315733,0.009190998,0.005928241,216.9861609,298.7500813,0.017437824,0.007061403,0.008888626,0.011471946,0.010298306
BDE-85,0.007947804,0.003405098,2899.86933,0.012689526,0.004849046,0.01273299,0.007764023,0.010754836,0.009224453,0.010956134,2134.739048,0.009545895,0.007386715,0.019706673,669.2887836,0.011368414,0.008529762,1226.992419,0.01290141,875.4366781,0.008888749,0.006712653,2496.164024,0.012177184,0.00988664,0.012728325,0.012410687,0.011339911,0.009451094,0.006900642,0.011136644,0.003429662,0.010350392,1789.097458,3051.28359,0.010868205,0.012790663,0.014836839,3681.914533,0.015594909,2020.673496,0.009213326,0.014713745,2375.411028,0.01007515,2643.067503,0.012214665,0.01038568,0.01270674,0.003930612,0.009959506,0.008190617,0.009127268,1944.172829
BHC__alpha-,7125.629128,19376.86144,73958.2028,29184.99015,6061.964234,16149.24395,84227.68521,49073.81145,4737.052963,69396.89388,35755.70748,32042.27669,59448.03132,41372.24819,1753.6279,5888.260963,2857.979121,5080.584949,2407.108591,1786.981895,12133.48782,4048.025231,24882.59066,6950.523044,7170.9271,8944.15493,2522.138794,4502.593522,1894.393982,978.3985234,4733.441017,12166.90724,6506.525783,29723.13826,9516.816627,5903.271244,7074.270712,14610.77077,54862.34658,15726.58242,6664.380557,25110.7461,18942.19725,10519.35981,7615.240492,12166.47257,5530.795703,5984.00065,3990.216357,7221.491671,30236.77908,12357.93387,31519.99794,16338.18758
BHC__delta-,4328327.99,4342536.544,3290341.446,5885868.958,3379827.035,6008853.294,4627050.028,2285428.45,4321436.252,3002768.879,2765096.901,4853912.343,3140703.066,5541923.097,7386576.62,7154225.486,9609567.623,4991170.579,5791731.534,4140073.057,5852949.718,6365732.384,3208342.722,3596455.395,2097098.459,5007625.685,3086059.458,4910776.862,16350184.9,2728417.637,4949957.602,2466133.962,2287799.441,5466963.449,184840961.7,5844475.511,6131641.852,4194269.393,5990739.156,2748425.363,7492186.444,5891344.853,1927139.228,7201237.191,6666450.536,7577273.433,3152294.975,3837877.507,4088041.635,4137837.183,7457215.25,6718868.934,6006610.997,3327891.301
Chlordane__cis-,0.004160689,0.008910716,0.006580208,988.1259036,0.009237158,564.2850848,0.011112341,0.012724809,555.5572772,0.007170129,262.9856394,0.008489816,0.008373521,0.012192187,361.0204502,0.001523303,464.3247148,0.003905595,0.009501517,0.009060456,0.006729366,0.012642474,267.7317939,0.011818713,0.007454693,0.010753818,0.006761416,0.009247208,337.1173122,0.009390199,0.009163248,0.013306911,0.015314535,0.014744207,0.004102468,0.015575253,0.015496941,0.01035764,388.9231058,0.008229739,0.010133905,0.009028934,0.005066738,0.002014432,0.008525476,0.012942626,344.8557713,0.013654311,0.012281041,0.00665344,0.013432994,0.01166247,0.008960386,0.004924485
Chlordane__trans-,869.0924917,0.005870987,0.009334141,0.014587277,0.002517548,370.6498908,319.8470393,777.5806439,6134.686104,0.007612926,0.00891,0.016304598,0.010761569,0.006071109,660.3310103,226.062356,1030.665553,790.2140194,850.8540574,200.0806412,0.004337527,0.003580855,0.008801013,363.6278645,136.6142432,0.006141881,0.006111204,530.3273357,1382.072168,0.005423863,513.3937047,232.744518,0.007964887,0.008360156,350.8290492,517.8788596,0.010062187,387.4343664,0.007522191,271.7159886,302.1989317,337.1561528,0.014432755,308.8899297,262.6377419,586.6204255,835.6811337,723.7797138,194.0557135,562.9873277,0.010943649,0.008763007,0.006983451,381.3332983
DDE__o_pp-,0.01016281,0.01415919,0.015509985,0.012024547,0.012311147,0.007817441,324.0949905,0.007853223,642.2310743,0.015425852,0.009890745,0.005907011,0.013857534,0.005113453,0.007220264,0.010031625,246.7498364,0.00742013,0.009374707,0.008432328,0.003378751,0.007205113,0.002906119,0.011750366,0.004705639,0.012031267,0.008691288,0.010161826,0.00930192,0.009884711,0.008618271,0.013664107,0.01065946,0.004151643,0.013751048,0.00806726,0.013973501,320.2989176,0.008408407,0.01602959,0.007318414,0.00838802,0.00697604,0.01130814,0.011142146,0.007884802,0.009238813,162.3390213,0.011792704,355.9379451,604.7348682,0.007935917,332.4953426,0.005905552
Dieldrin_,0.01016281,0.01415919,0.015509985,0.012024547,0.012311147,0.007817441,324.0949905,0.007853223,642.2310743,0.015425852,0.009890745,0.005907011,0.013857534,0.005113453,0.007220264,0.010031625,246.7498364,0.00742013,0.009374707,0.008432328,0.003378751,0.007205113,0.002906119,0.011750366,0.004705639,0.012031267,0.008691288,0.010161826,0.00930192,0.009884711,0.008618271,0.013664107,0.01065946,0.004151643,0.013751048,0.00806726,0.013973501,320.2989176,0.008408407,0.01602959,0.007318414,0.00838802,0.00697604,0.01130814,0.011142146,0.007884802,0.009238813,162.3390213,0.011792704,355.9379451,604.7348682,0.007935917,332.4953426,0.005905552
Di-n-butyl phthalate,140234035.6,212887099.8,132411367.4,186867785,48064070.68,271294854.7,173547825.7,152638727,205477376.7,122004111.9,4778992.855,121392205.9,94642678.45,1292811.599,345557224.1,143998568.5,144896497.4,176792207.8,89391891.9,647488791.7,235461354.5,119188108.4,68241700.06,155533747.9,43163692.76,65214166.41,330636779.5,363730329.1,234309007.2,674168839.5,81647491.63,412057089.6,111506836.4,94399861.33,134714713.4,139639704.2,112754308.3,164601858.1,96302973.88,84179488.86,94870682.69,127877438.4,128894174.5,109090062.9,262874563.1,249594750.7,187986021.3,119403694.8,136451502.5,181781210.7,182071401.1,217337241.9,223032808.9,248901117.9
Endrin_ketone,324.4819966,680.3124963,1598.857024,0.006577294,0.013364373,453.4473439,0.01592725,550.4855147,0.009951888,0.004605098,0.004810875,0.003226983,0.01027982,0.015602433,0.016704191,0.012742859,0.006945524,0.014144799,0.011043509,0.003751046,0.003033861,0.009077148,0.012086684,0.008989311,0.01405394,0.008557858,0.01175415,0.013802451,0.011810945,300.6750244,0.005185871,0.006469901,0.014803686,333.5164559,506.2974609,0.01521128,544.8592404,511.4723617,818.9999137,0.010802947,0.012098111,304.798282,0.004151163,0.006800149,0.010342367,0.009276706,0.013084851,0.010211397,255.6281195,0.009012163,9856.442549,0.011775846,419.0760071,0.008886942
Etofenprox,10194932.99,7354569.358,12684639.04,61269597.27,2795607.929,4429158.77,5193374.077,15058113.36,6464418.953,3567106.613,7543855.096,3617000.584,991952.7237,2362419.847,1464437.504,1823192.506,5867379.074,4502811.519,3823653.295,4957515.327,4624220.163,12043942.65,3478026.69,6853868.683,643691.5762,2102872.677,7985614.514,4824345.2,273765.8505,2420132.082,8205024.742,3786955.321,5889756.653,4089940.798,7732026.465,10307849.71,4650906.514,9322162.333,8119660.655,7591659.19,7967685.881,3961679.686,5405224.746,9359639.597,349982.3468,4274075.578,1999342.632,2117866.814,2286842.152,7622371.286,10897964.62,16085363.9,8839843.834,13845988.97
