mz,time,Control1,Control2,Control3,Control4,Control5,H1N1_1,H1N1_2,H1N1_3,H1N1_4,H1N1_5
160.1327631,218.761,23.44201345,23.47571021,23.18899484,23.67557268,23.10460516,23.3465291,22.78115533,23.15358347,22.60914963,22.8779893
142.026024,356.546,25.56293131,26.34455361,22.3027733,23.62644837,24.27892102,22.93963982,23.08747817,25.88778852,21.58256857,22.10921939
881.5853033,211.502,18.80893153,19.15841636,18.59481191,18.35354051,18.08507924,19.60121746,20.19355004,20.78844576,20.29960672,19.93857494
780.5876269,164.078,20.81411537,22.70756468,21.75355074,21.87490449,21.44566823,21.01973278,22.26363564,22.53570459,21.3412181,21.0699366
225.1114711,115.021,22.07102169,21.596682,21.10533089,21.13154781,20.48737035,20.60979985,20.28927314,20.70230638,20.32523803,19.87683418
332.2057396,32.33865,21.14920497,20.97837977,20.74919277,20.42074846,20.41323148,20.5559451,20.7975687,20.4568749,20.08928843,20.09057595
281.1141258,239.325,20.73019061,20.56852205,22.22708216,21.76939345,20.67358523,21.99782475,21.63614667,21.81118178,21.85174799,21.83152978
452.3720015,119.185,21.82027276,20.6928304,21.78896381,21.72877282,21.3994155,21.77307582,22.54765604,22.39861303,22.41001403,22.38618914
431.3827691,34.7064,20.41759903,18.7843209,19.05413976,19.05413976,20.00027124,18.99089936,20.36431306,19.96043749,19.5266486,19.94806238
186.0771375,349.081,18.25347993,19.03387566,19.43139272,21.15942722,19.78385543,20.36873824,20.14461693,17.36579199,20.30336743,21.08086505
545.0283216,172.097,19.15198108,11.21064016,21.46498301,19.33620442,21.60000804,15.61498349,21.50117552,20.28015474,22.0150201,22.2031104
139.981786,591.123,22.72086968,23.04897554,21.71606869,21.97847145,21.0334121,20.75060069,21.81531694,21.21234858,21.62787265,21.71465487
755.0348398,225.033,18.32766751,21.25795367,21.46002372,22.15905213,21.22563453,23.21125057,21.57444442,21.23543855,22.00734279,21.8660728
187.9837745,308.8005,20.84525687,20.87027087,20.12284388,19.60447131,19.51772277,18.37810299,20.92952013,21.22319472,20.39157796,19.87503772
853.5536693,213.1895,20.94059876,19.5299575,19.13002169,18.88285984,20.07167149,20.36431306,19.59028431,20.38734101,20.08152292,18.49745971
213.1114885,134.62,21.88899625,22.03311745,22.03175518,20.93742606,21.05357201,19.16248451,21.53846902,22.13142358,21.2062643,20.38523625
214.2523005,189.838,21.33612622,21.291836,21.0569709,20.74919277,20.88558427,20.12830199,20.95775629,21.16011067,20.75148134,20.59084235
369.195008,124.547,19.83444715,20.00729172,19.52881172,20.21451226,19.69586173,20.43711896,20.06256982,19.59634005,20.87676309,20.36015386
438.3201149,121.586,18.55666882,19.5531799,21.1321688,21.31660816,18.23593944,20.44072564,19.3637811,20.1272332,21.6470438,18.88009899
625.5179517,134.414,21.79732403,23.0706228,22.50597166,21.34333213,23.0544185,21.3146201,22.63789891,22.90993999,23.5766544,22.68960519
218.0667829,291.737,19.9017367,19.45911551,19.37001123,20.416359,19.41662589,20.2524605,18.20743919,19.42711576,18.26367468,19.63200203
873.5388964,220.5675,19.99612655,19.51935003,18.63111531,19.69822364,20.13176288,21.12841052,20.09057595,19.67221605,20.78378443,20.12830199
131.1620436,194.776,22.76706712,22.85865803,22.61823915,22.06628247,22.43194549,21.91679538,22.52899225,22.61526393,22.3289943,22.20687664
499.3468726,269.914,21.66279088,21.78511714,21.68295393,21.98240522,22.44053833,21.75577811,22.06450302,22.485573,22.43292123,22.23772315
207.1374106,135.636,21.36757697,21.63614667,21.71372834,21.91432077,20.95101433,19.42038519,21.37612517,21.74961175,20.85923423,22.47759691
849.5389095,223.203,22.10785938,20.78021915,21.20430716,21.94405106,21.8660728,22.4659693,20.90049736,20.81910634,21.12525917,21.62446586
253.1790463,45.2871,20.89341055,20.77824192,20.1729496,21.22025723,21.10035359,20.99030394,19.91684942,19.97908502,21.29304508,20.8347406
794.5652954,221.141,22.89246483,22.09387036,22.01886735,22.87347604,22.93008325,22.50769205,22.56118745,22.60383173,22.81218782,22.50597166
198.0971182,63.03725,29.35052577,29.07387076,28.81457378,29.38750014,29.46091872,29.46091872,28.84703988,29.00428408,29.17732343,29.69709153
99.51195318,46.0808,23.74553544,19.68145065,21.90151413,20.38833344,23.88045871,20.82085986,18.71107513,19.629864,20.33855823,19.81572874
170.0648482,294.504,19.98048263,20.80688987,22.10073439,23.05714664,21.85371363,21.39085699,20.53897951,19.89440096,20.71502201,21.81615104
169.9768261,117.55,25.17751508,25.4509326,25.01999408,24.16117346,24.81676744,24.12389991,24.43164597,24.98962358,24.6253842,23.5187607
131.9294721,150.816,23.72685774,23.5766544,23.27252189,20.97177823,22.23281343,18.89793846,23.01915564,22.41454127,21.99129911,21.3078202
